Cliente,Variável,Parâmetro,E_MLE (do Modelo Ajustado),E_Bayes (Preditivo),Média Teste (Real)
client01,packet_loss_percent,p (Prob. Média),0.9483450767735947,186.66616874017456,0.43343418931229455
client01,rtt_download_sec,Média E[Y],0.04565988314038845,0.04788751022159188,0.042026944055944045
client01,rtt_upload_sec,Média E[Y],0.026540203346564838,0.028470617822474596,0.026472342657342652
client01,download_throughput_bps,Média E[Y],650329090.1786191,641780945.0729439,670234910.599534
client01,upload_throughput_bps,Média E[Y],714049706.694203,700409018.9998261,745814385.031465
client10,packet_loss_percent,p (Prob. Média),2.17195260834589,758.2015013461112,1.2323428232496938
client10,rtt_download_sec,Média E[Y],0.09441722749437931,0.09418399939291075,0.08784547222222219
client10,rtt_upload_sec,Média E[Y],0.059646856436033395,0.06089097285017917,0.06371133333333333
client10,download_throughput_bps,Média E[Y],231791294.74137795,232999589.9543558,228542323.1687096
client10,upload_throughput_bps,Média E[Y],37347812.26601743,37104247.08391552,38002731.97789699
