,download_bps,download_bps,download_bps,download_bps,upload_bps,upload_bps,upload_bps,upload_bps,rtt_download_sec,rtt_download_sec,rtt_download_sec,rtt_download_sec,rtt_upload_sec,rtt_upload_sec,rtt_upload_sec,rtt_upload_sec,packet_loss,packet_loss,packet_loss,packet_loss
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
client,,,,,,,,,,,,,,,,,,,,
client01,650329090.1786191,892829694.9208715,345683305.8289266,476,714049706.694203,878876045.2323045,288066464.7210345,476,0.044897107142857134,0.011,0.053727060003327255,476,0.03130497058823528,0.006363499999999999,0.046583569760967454,476,0.0052409259588677305,5.4758286570614006e-05,0.016688807408206174,476
client02,639309508.1026303,824316656.0317224,325458330.7998435,500,561951628.7035077,629699678.5862105,212293471.06743142,500,0.039057652,0.01,0.05242017627907362,500,0.029352453999999986,0.004243,0.048154303889164314,500,0.00781427958359889,0.0006545347719176344,0.018797569447419393,500
client03,613278409.8066397,812445409.3016932,330593890.64852333,534,521209803.8920546,592773243.6079053,209922651.3475307,534,0.044448181647940066,0.01,0.056224042319639025,534,0.03298586891385767,0.004359,0.050533012911031364,534,0.006749519313628205,0.0007491672159064236,0.014378235065198447,534
client04,580578884.3799634,799150140.010026,346407434.36956143,461,548986225.5779624,622324165.2489191,247922649.05223033,461,0.05085350759219088,0.012,0.055240474565721634,461,0.035188351409978294,0.008341,0.06996238297307981,461,0.005128080433557508,0.000493184166219151,0.01315334406160342,461
client05,309530969.1734707,106962886.11686599,334755088.14770263,482,347752207.8374726,108594534.92565626,351386302.8149734,482,0.0451663112033195,0.01,0.05486494635888419,482,0.02970687966804978,0.004111500000000001,0.0472864384026623,482,0.06311938217503023,0.08276382744124622,0.052962058124085304,482
client06,611258427.9250153,830235942.5285647,340659603.00436854,534,606534738.3370422,738698732.786013,256786414.21229538,534,0.046760792134831454,0.0099445,0.05653685623278451,534,0.031781674157303354,0.003858,0.0682982489496322,534,0.008321500185869702,0.007170661632637301,0.010173023395736483,534
client07,629741956.2391587,834419015.5628711,332320309.63823634,540,491236755.77681744,550829432.4144349,192692701.93176806,540,0.046287429629629624,0.013,0.05762005088541408,540,0.034639988888888876,0.008962,0.05162915619034965,540,0.005296586254949452,0.000875949124866826,0.015588265769581973,540
client08,233889619.76079068,96396453.32678296,292342972.6339208,625,225898541.23469296,97324495.51262334,249760728.82939088,625,0.05441943839999999,0.01,0.06736865596788819,625,0.04077692479999999,0.005875,0.06213676620554953,625,0.05060996171339144,0.033348430218268506,0.06079176870667256,625
client09,645240035.0203884,894133515.4364446,351103441.21135235,498,452650070.83885306,190206886.29785824,388712984.6335294,498,0.044973634538152604,0.01,0.05487822827371289,498,0.033936873493975894,0.0043445,0.0506058694845945,498,0.004832634131470987,0.0007306617583011565,0.013847933565941476,498
client10,231791294.74137792,221136216.3230062,166037580.86789006,664,37347812.26601742,40764883.49358833,9268352.718097651,664,0.08720242620481927,0.015269,0.10342297823455657,664,0.06773092620481927,0.016558,0.09374418805623017,664,0.014803458765300563,7.470080298030199e-05,0.028779092802397228,664
client11,504634766.3071188,690643959.055207,288494834.20447725,489,267394106.14809707,382950945.28375113,165134448.1096607,489,0.012882789366053162,0.0129629999999999,0.006243015452583648,489,0.015222881390593038,0.0154939999999999,0.00913663909616703,489,0.011971610691103278,0.005409766111779129,0.019457230204794052,489
client12,464765894.8059782,636004142.2890322,284875756.07189316,640,92171175.64682907,96038521.0606367,30422963.61517663,640,0.08648528281249998,0.0145835,0.10383408783942642,640,0.07346213906249999,0.017328999999999997,0.09729799417098677,640,0.000638046227926588,6.1489473871697e-05,0.004304272676519761,640
client13,593933162.9832424,596143878.0761683,22024707.36215065,644,294764544.29173195,298961298.14218813,16584812.268745776,644,0.011747787267080744,0.0119265,0.005656121492028821,644,0.012986380434782592,0.014283500000000001,0.004994813893601657,644,0.05336099414131434,0.05547861859588589,0.012124890703886046,644
